!SIL 1.0	SIL
A 1.0	A
mitara 1.0	m i t a r a
mittI 1.0	m i t t I
miwra 1.0	m i w r a
miwrawA 1.0	m i w r a w A
miwula 1.0	m i w u l a
moTa 1.0	m o T a
moce 1.0	m o c e
modZa 1.0	m o d Z a
moda 1.0	m o d a
mohIna 1.0	m o h I n a
moha 1.0	m o h a
mohamaxa 1.0	m o h a m a x a
mohammaxa 1.0	m o h a m m a x a
mohi 1.0	m o h i
mohowsava 1.0	m o h o w s a v a
mokRa 1.0	m o k R a
monsUnI 1.0	m o n s U n I
mora 1.0	m o r a
morcA 1.0	m o r c A
morce 1.0	m o r c e
moreM 1.0	m o r e M
mortAreM 1.0	m o r t A r e M
motarAja 1.0	m o t a r A j a
motaroM 1.0	m o t a r o M
moxI 1.0	m o x I
mqga 1.0	m q g a
mqxu 1.0	m q x u
mruwkoM 1.0	m r u w k o M
mruwya 1.0	m r u w y a
mruwyu 1.0	m r u w y u
muJaParpura 1.0	m u J a P a r p u r a
muJase 1.0	m u J a s e
muJe 1.0	m u J e
muKI 1.0	m u K I
muKa 1.0	m u K a
muKapqRTa 1.0	m u K a p q R T a
muKarjI 1.0	m u K a r j I
muKwAra 1.0	m u K w A r a
muKyAlaya 1.0	m u K y A l a y a
muKya 1.0	m u K y a
muKyamaMwrI 1.0	m u K y a m a M w r I
muKyamanwrI 1.0	m u K y a m a n w r I
muKyawa 1.0	m u K y a w a
muKyawaH 1.0	m u K y a w a H
muMbE 1.0	m u M b E
muMha 1.0	m u M h a
muPwi 1.0	m u P w i
muSaraPa 1.0	m u S a r a P a
muSarraPa 1.0	m u S a r r a P a
muSko 1.0	m u S k o
muSkoha 1.0	m u S k o h a
muSraPa 1.0	m u S r a P a
muSwAka 1.0	m u S w A k a
mugala 1.0	m u g a l a
mujAhixIna 1.0	m u j A h i x I n a
mujAhixInoM 1.0	m u j A h i x I n o M
mujaPParpura 1.0	m u j a P P a r p u r a
mukAbale 1.0	m u k A b a l e
mukAblA 1.0	m u k A b l A
mukAbla 1.0	m u k A b l a
mukAble 1.0	m u k A b l e
mukara 1.0	m u k a r a
mukarrama 1.0	m u k a r r a m a
mukaxamo 1.0	m u k a x a m o
mukwAra 1.0	m u k w A r a
mukwa 1.0	m u k w a
mulAkAwa 1.0	m u l A k A w a
mulArAma 1.0	m u l A r A m a
mulAyama 1.0	m u l A y a m a
mullA 1.0	m u l l A
mumbEi 1.0	m u m b E i
mumbaI 1.0	m u m b a I
munWo 1.0	m u n W o
muni 1.0	m u n i
munibara 1.0	m u n i b a r a
murWaxxAloM 1.0	m u r W a x x A l o M
muralI 1.0	m u r a l I
murexa 1.0	m u r e x a
murxA 1.0	m u r x A
musIbawoM 1.0	m u s I b a w o M
musalmAna 1.0	m u s a l m A n a
musalmAno 1.0	m u s a l m A n o
muslima 1.0	m u s l i m a
muswExa 1.0	m u s w E x a
muxXA 1.0	m u x X A
muxXe 1.0	m u x X e
muxXo 1.0	m u x X o
muxavakila 1.0	m u x a v a k i l a
muxrA 1.0	m u x r A
muxubanI 1.0	m u x u b a n I
muxxA 1.0	m u x x A
muxxe 1.0	m u x x e
muxxoM 1.0	m u x x o M
muzha 1.0	m u z h a
nA 1.0	n A
nAIta 1.0	n A I t a
nAMgluI 1.0	n A M g l u I
nAWa 1.0	n A W a
nAgAleMda 1.0	n A g A l e M d a
nAga 1.0	n A g a
nAgarIka 1.0	n A g a r I k a
nAgarika 1.0	n A g a r i k a
nAgluI 1.0	n A g l u I
nAgrikoM 1.0	n A g r i k o M
nAhIM 1.0	n A h I M
nAi 1.0	n A i
nAja 1.0	n A j a
nAkAma 1.0	n A k A m a
nAka 1.0	n A k a
nAloM 1.0	n A l o M
nAma 1.0	n A m a
nAmaMjUra 1.0	n A m a M j U r a
nAmaka 1.0	n A m a k a
nAmakaraNa 1.0	n A m a k a r a N a
nAme 1.0	n A m e
nAnA 1.0	n A n A
nAngluI 1.0	n A n g l u I
nArAyNana 1.0	n A r A y N a n a
nArAyaNa 1.0	n A r A y a N a
nArAyaNana 1.0	n A r A y a N a n a
nArWa 1.0	n A r W a
nAraxa 1.0	n A r a x a
nAri 1.0	n A r i
nAsika 1.0	n A s i k a
nAtaka 1.0	n A t a k a
nAto 1.0	n A t o
nAvA 1.0	n A v A
nAyadU 1.0	n A y a d U
nAyadu 1.0	n A y a d u
nAyaka 1.0	n A y a k a
nAyara 1.0	n A y a r a
nAydU 1.0	n A y d U
nE 1.0	n E
nEi 1.0	n E i
nEwika 1.0	n E w i k a
nIce 1.0	n I c e
nIma 1.0	n I m a
nIwI 1.0	n I w I
nIwi 1.0	n I w i
nIwiyoM 1.0	n I w i y o M
nO 1.0	n O
nOSara 1.0	n O S a r a
nObawa 1.0	n O b a w a
nOjavAna 1.0	n O j a v A n a
nOjavAnoM 1.0	n O j a v A n o M
nOsEnA 1.0	n O s E n A
nOsO 1.0	n O s O
nOsenA 1.0	n O s e n A
nOwA 1.0	n O w A
na 1.0	n a
naBa 1.0	n a B a
naI 1.0	n a I
naRta 1.0	n a R t a
nabI 1.0	n a b I
nabbe 1.0	n a b b e
nae 1.0	n a e
nagarI 1.0	n a g a r I
nagara 1.0	n a g a r a
nagaroM 1.0	n a g a r o M
nagrAwa 1.0	n a g r A w a
nahI 1.0	n a h I
nahIM 1.0	n a h I M
nahara 1.0	n a h a r a
naharemA 1.0	n a h a r e m A
naharo 1.0	n a h a r o
nahiM 1.0	n a h i M
najZara 1.0	n a j Z a r a
najara 1.0	n a j a r a
najxIkI 1.0	n a j x I k I
nakArAwmaka 1.0	n a k A r A w m a k a
nakalI 1.0	n a k a l I
nakvI 1.0	n a k v I
naltuyba 1.0	n a l t u y b a
nama 1.0	n a m a
namaskAra 1.0	n a m a s k A r a
namaswe 1.0	n a m a s w e
nambara 1.0	n a m b a r a
nara 1.0	n a r a
nareMxra 1.0	n a r e M x r a
nareSa 1.0	n a r e S a
nasIhawa 1.0	n a s I h a w a
natvara 1.0	n a t v a r a
navAjZa 1.0	n a v A j Z a
navAja 1.0	n a v A j a
nava 1.0	n a v a
navanI 1.0	n a v a n I
nawIjA 1.0	n a w I j A
nawIjoM 1.0	n a w I j o M
naxI 1.0	n a x I
naxIyAM 1.0	n a x I y A M
naxIyo 1.0	n a x I y o
naxiyAz 1.0	n a x i y A z
naxiyoM 1.0	n a x i y o M
nayA 1.0	n a y A
nayI 1.0	n a y I
naya 1.0	n a y a
nayaMwraNa 1.0	n a y a M w r a N a
nayana 1.0	n a y a n a
naye 1.0	n a y e
ne 1.0	n e
neM 1.0	n e M
neSanlIsta 1.0	n e S a n l I s t a
neSnala 1.0	n e S n a l a
neSnalista 1.0	n e S n a l i s t a
neduncelYiyana 1.0	n e d u n c e l Y i y a n a
nema 1.0	n e m a
nepAla 1.0	n e p A l a
nepAlaBARA 1.0	n e p A l a B A R A
nestara 1.0	n e s t a r a
neto 1.0	n e t o
newA 1.0	n e w A
newAo 1.0	n e w A o
newAoM 1.0	n e w A o M
newqwva 1.0	n e w q w v a
newrahIno 1.0	n e w r a h I n o
newriwva 1.0	n e w r i w v a
nexarleMda 1.0	n e x a r l e M d a
niBA 1.0	n i B A
niBAnI 1.0	n i B A n I
niBAne 1.0	n i B A n e
niMxA 1.0	n i M x A
niMyaMwraNa 1.0	n i M y a M w r a N a
niSAMwa 1.0	n i S A M w a
niSAna 1.0	n i S A n a
niSAne 1.0	n i S A n e
niScawa 1.0	n i S c a w a
niSciwa 1.0	n i S c i w a
niXI 1.0	n i X I
niXana 1.0	n i X a n a
niXeSAlaya 1.0	n i X e S A l a y a
nicale 1.0	n i c a l e
nicle 1.0	n i c l e
nigama 1.0	n i g a m a
nigarAnI 1.0	n i g a r A n I
nihiwa 1.0	n i h i w a
nijI 1.0	n i j I
nija 1.0	n i j a
nikAlA 1.0	n i k A l A
nikAlI	 1.0	n i k A l I
nikAla 1.0	n i k A l a
nikAya 1.0	n i k A y a
nikalawA 1.0	n i k a l a w A
nikalne 1.0	n i k a l n e
nikara 1.0	n i k a r a
nikata 1.0	n i k a t a
nikobAra 1.0	n i k o b A r a
nimAwI 1.0	n i m A w I
nimna 1.0	n i m n a
nimnaliKiwa 1.0	n i m n a l i K i w a
ninxA 1.0	n i n x A
nipatne 1.0	n i p a t n e
niptAI 1.0	n i p t A I
niptAre 1.0	n i p t A r e
niptI 1.0	n i p t I
nirASA 1.0	n i r A S A
nirAlA 1.0	n i r A l A
nirBara 1.0	n i r B a r a
nirNAyaka 1.0	n i r N A y a k a
nirNAyka 1.0	n i r N A y k a
nirNaya 1.0	n i r N a y a
nirXArIwa 1.0	n i r X A r I w a
nirXAraNa 1.0	n i r X A r a N a
nirXAriwa 1.0	n i r X A r i w a
niraKi 1.0	n i r a K i
niraMwara 1.0	n i r a M w a r a
nirarWaka 1.0	n i r a r W a k a
niraswrikaraNa 1.0	n i r a s w r i k a r a N a
nirmANa 1.0	n i r m A N a
nirmAwA 1.0	n i r m A w A
nirmAwAoM 1.0	n i r m A w A o M
nirmiwa 1.0	n i r m i w a
nirvAcana 1.0	n i r v A c a n a
nirvAciwa 1.0	n i r v A c i w a
nirvacana 1.0	n i r v a c a n a
nirviSeXa 1.0	n i r v i S e X a
nirxeSAlaya 1.0	n i r x e S A l a y a
nirxeSa 1.0	n i r x e S a
nirxeSaka 1.0	n i r x e S a k a
nisicara 1.0	n i s i c a r a
nivAsa 1.0	n i v A s a
niveSaka 1.0	n i v e S a k a
niveSako 1.0	n i v e S a k o
niveSakoM 1.0	n i v e S a k o M
nivexana 1.0	n i v e x a n a
nivriwa 1.0	n i v r i w a
nivyAMve 1.0	n i v y A M v e
nixeSaka 1.0	n i x e S a k a
nixeSko 1.0	n i x e S k o
niyaMwraNa 1.0	n i y a M w r a N a
niyama 1.0	n i y a m a
niyanwraNa 1.0	n i y a n w r a N a
niyojana 1.0	n i y o j a n a
niyukwa 1.0	n i y u k w a
no 1.0	n o
nortana 1.0	n o r t a n a
nota 1.0	n o t a
nqwya 1.0	n q w y a
nruSaMsa 1.0	n r u S a M s a
nuksAna 1.0	n u k s A n a
nyACAvara 1.0	n y A C A v a r a
nyAyAlaya 1.0	n y A y A l a y a
nyAya 1.0	n y A y a
nyAyaka 1.0	n y A y a k a
nyAyalaya 1.0	n y A y a l a y a
nyOCAvara 1.0	n y O C A v a r a
nyOXAvara 1.0	n y O X A v a r a
nyOcAvara 1.0	n y O c A v a r a
nyUjIlEnda 1.0	n y U j I l E n d a
nyUjIleMda 1.0	n y U j I l e M d a
nyUjIleNda 1.0	n y U j I l e N d a
nyUjIlenda 1.0	n y U j I l e n d a
nyUjZIleMda 1.0	n y U j Z I l e M d a
nyUja 1.0	n y U j a
nyUna 1.0	n y U n a
nyUnawama 1.0	n y U n a w a m a
nyUyOYrka 1.0	n y U y O Y r k a
nyoCAvara 1.0	n y o C A v a r a
nyuja 1.0	n y u j a
o 1.0	o
oKalA 1.0	o K a l A
oM 1.0	o M
oPa 1.0	o P a
odZIsA 1.0	o d Z I s A
odZisA 1.0	o d Z i s A
oksotetrasAiklina 1.0	o k s o t e t r a s A i k l i n a
olampura 1.0	o l a m p u r a
olda 1.0	o l d a
onasI 1.0	o n a s I
ora 1.0	o r a
ornAsAMceja 1.0	o r n A s A M c e j a
osIba 1.0	o s I b a
ovala 1.0	o v a l a
ovara 1.0	o v a r a
pA 1.0	p A
pAI 1.0	p A I
pAM 1.0	p A M
pAMca 1.0	p A M c a
pAMcsO 1.0	p A M c s O
pANdava 1.0	p A N d a v a
pATaka 1.0	p A T a k a
pAbaMxI 1.0	p A b a M x I
pAca 1.0	p A c a
pAdiwa 1.0	p A d i w a
pAe 1.0	p A e
pAhAdoM 1.0	p A h A d o M
pAhadZiyoM 1.0	p A h a d Z i y o M
pAheM 1.0	p A h e M
pAiMta 1.0	p A i M t a
pAka 1.0	p A k a
pAkara 1.0	p A k a r a
pAkiswAnI 1.0	p A k i s w A n I
pAkiswAna 1.0	p A k i s w A n a
pAkiswAni 1.0	p A k i s w A n i
pAla 1.0	p A l a
pAlama 1.0	p A l a m a
pAlana 1.0	p A l a n a
pAlikA 1.0	p A l i k A
pAnI 1.0	p A n I
pAna 1.0	p A n a
pArI 1.0	p A r I
pArSva 1.0	p A r S v a
pArWiva 1.0	p A r W i v a
pAra 1.0	p A r a
pAraMparika 1.0	p A r a M p a r i k a
pAramparika 1.0	p A r a m p a r i k a
pArasI 1.0	p A r a s I
pAresa 1.0	p A r e s a
pArtI 1.0	p A r t I
pArtIyo 1.0	p A r t I y o
pArtiyoM 1.0	p A r t i y o M
pAsa 1.0	p A s a
pAta 1.0	p A t a
pAuxara 1.0	p A u x a r a
pAvA 1.0	p A v A
pAvana 1.0	p A v a n a
pAvani 1.0	p A v a n i
pAvara 1.0	p A v a r a
pAwA 1.0	p A w A
pAwI 1.0	p A w I
pAwra 1.0	p A w r a
pAwroM 1.0	p A w r o M
pAyA 1.0	p A y A
pAyI 1.0	p A y I
pAye 1.0	p A y e
pAyiMta 1.0	p A y i M t a
pAylata 1.0	p A y l a t a
pAyleta 1.0	p A y l e t a
pAzca 1.0	p A z c a
pAzhucawe 1.0	p A z h u c a w e
pE 1.0	p E
pEMta 1.0	p E M t a
pESa 1.0	p E S a
pEgambara 1.0	p E g a m b a r a
pEkeja 1.0	p E k e j a
pEmAne 1.0	p E m A n e
pEra 1.0	p E r a
pEse 1.0	p E s e
pEwisa 1.0	p E w i s a
pEwqka 1.0	p E w q k a
pEwrika 1.0	p E w r i k a
pEwruka 1.0	p E w r u k a
pExA 1.0	p E x A
pI 1.0	p I
pICe 1.0	p I C e
pIDZI 1.0	p I D Z I
pITa 1.0	p I T a
pIdZA 1.0	p I d Z A
pIdZiwa 1.0	p I d Z i w a
pIje 1.0	p I j e
pIne 1.0	p I n e
pItA 1.0	p I t A
pOXA 1.0	p O X A
pOYtara 1.0	p O Y t a r a
pOYva 1.0	p O Y v a
pOne 1.0	p O n e
pOrANika 1.0	p O r A N i k a
pOruRa 1.0	p O r u R a
pOxyalagAyA 1.0	p O x y a l a g A y A
pUCA 1.0	p U C A
pUCe 1.0	p U C e
pUMjI 1.0	p U M j I
pUcanA 1.0	p U c a n A
pUjA 1.0	p U j A
pUrA 1.0	p U r A
pUrAM 1.0	p U r A M
pUrI 1.0	p U r I
pUrNa 1.0	p U r N a
pUrNimA 1.0	p U r N i m A
pUre 1.0	p U r e
pUrvI 1.0	p U r v I
pUrva 1.0	p U r v a
pUzCa 1.0	p U z C a
paDZA 1.0	p a D Z A
paDZAI 1.0	p a D Z A I
paDZane 1.0	p a D Z a n e
paDZawe 1.0	p a D Z a w e
paDa 1.0	p a D a
paDane 1.0	p a D a n e
paMWa 1.0	p a M W a
paMcAnve 1.0	p a M c A n v e
paMjAbI 1.0	p a M j A b I
paMjAba 1.0	p a M j A b a
paMkaja 1.0	p a M k a j a
paMwa 1.0	p a M w a
paMxaraha 1.0	p a M x a r a h a
paMxraha 1.0	p a M x r a h a
paNjI 1.0	p a N j I
paSCima 1.0	p a S C i m a
paScAwa 1.0	p a S c A w a
paScimI 1.0	p a S c i m I
paScima 1.0	p a S c i m a
paSuoM 1.0	p a S u o M
paTArI 1.0	p a T A r I
paWa 1.0	p a W a
pablika 1.0	p a b l i k a
pacAsI 1.0	p a c A s I
pacAsa 1.0	p a c A s a
pacCima 1.0	p a c C i m a
pacIsa 1.0	p a c I s a
paccIsa 1.0	p a c c I s a
paccawara 1.0	p a c c a w a r a
padA 1.0	p a d A
padZA 1.0	p a d Z A
padZa 1.0	p a d Z a
padZe 1.0	p a d Z e
padZeMge 1.0	p a d Z e M g e
padZegA 1.0	p a d Z e g A
padZne 1.0	p a d Z n e
pada 1.0	p a d a
padane 1.0	p a d a n e
padawI 1.0	p a d a w I
padeMgI 1.0	p a d e M g I
padegA 1.0	p a d e g A
padegI 1.0	p a d e g I
padosI 1.0	p a d o s I
pahADa 1.0	p a h A D a
pahAdZI 1.0	p a h A d Z I
pahAdZa 1.0	p a h A d Z a
pahAdZiyo 1.0	p a h A d Z i y o
pahUMcAyA 1.0	p a h U M c A y A
pahaMcA 1.0	p a h a M c A
pahacAna 1.0	p a h a c A n a
pahacAnne 1.0	p a h a c A n n e
pahalA 1.0	p a h a l A
pahalI 1.0	p a h a l I
pahalUo 1.0	p a h a l U o
pahale 1.0	p a h a l e
pahcI 1.0	p a h c I
pahiM 1.0	p a h i M
pahlA 1.0	p a h l A
pahlI 1.0	p a h l I
pahle 1.0	p a h l e
pahuMcA 1.0	p a h u M c A
pahuMcAyA 1.0	p a h u M c A y A
pahuMca 1.0	p a h u M c a
pahuMcne 1.0	p a h u M c n e
pahucAnevAle 1.0	p a h u c A n e v A l e
pahuzcA 1.0	p a h u z c A
pahuzcAne 1.0	p a h u z c A n e
pahuzcAnevAle 1.0	p a h u z c A n e v A l e
pahuzca 1.0	p a h u z c a
pahuzcane 1.0	p a h u z c a n e
pahuzce 1.0	p a h u z c e
pahuzcegI 1.0	p a h u z c e g I
pahuzcne 1.0	p a h u z c n e
pakRI 1.0	p a k R I
pakRa 1.0	p a k R a
pakRoM 1.0	p a k R o M
pakadA 1.0	p a k a d A
pakadZA 1.0	p a k a d Z A
pakadZa 1.0	p a k a d Z a
pakada 1.0	p a k a d a
pakiswAna 1.0	p a k i s w A n a
pakkI 1.0	p a k k I
paladZa 1.0	p a l a d Z a
palona 1.0	p a l o n a
pampalonA 1.0	p a m p a l o n A
pana 1.0	p a n a
pannA 1.0	p a n n A
panne 1.0	p a n n e
panxraha 1.0	p a n x r a h a
parAmola 1.0	p a r A m o l a
parAsa 1.0	p a r A s a
parIBARiwa 1.0	p a r I B A R i w a
parINAmke 1.0	p a r I N A m k e
parINAmoM 1.0	p a r I N A m o M
parIRaxa 1.0	p a r I R a x a
parIkRA 1.0	p a r I k R A
parIsWiwiyo 1.0	p a r I s W i w i y o
parIsara 1.0	p a r I s a r a
parIsaroM 1.0	p a r I s a r o M
para 1.0	p a r a
paraBI 1.0	p a r a B I
paraMparA 1.0	p a r a M p a r A
paraMwu 1.0	p a r a M w u
parabrahma 1.0	p a r a b r a h m a
paramANu 1.0	p a r a m A N u
paramAwmA 1.0	p a r a m A w m A
parama 1.0	p a r a m a
parampArIka 1.0	p a r a m p A r I k a
paramparA 1.0	p a r a m p a r A
paraspara 1.0	p a r a s p a r a
paravAha 1.0	p a r a v A h a
paraveja 1.0	p a r a v e j a
parawa 1.0	p a r a w a
pareSAna 1.0	p a r e S A n a
pareda 1.0	p a r e d a
pari 1.0	p a r i
pariNAma 1.0	p a r i N A m a
pariRaxa 1.0	p a r i R a x a
paricaya 1.0	p a r i c a y a
parisWiwI 1.0	p a r i s W i w I
parisWiwiyaz 1.0	p a r i s W i w i y a z
parivAra 1.0	p a r i v A r a
parivArjano 1.0	p a r i v A r j a n o
parivAroM 1.0	p a r i v A r o M
parivarwana 1.0	p a r i v a r w a n a
pariyojanA 1.0	p a r i y o j a n A
pariyojanAoM 1.0	p a r i y o j a n A o M
pariyojnA 1.0	p a r i y o j n A
parmANU 1.0	p a r m A N U
parmANu 1.0	p a r m A N u
partI 1.0	p a r t I
parvA 1.0	p a r v A
parva 1.0	p a r v a
parvawIya 1.0	p a r v a w I y a
parvawa 1.0	p a r v a w a
parvawoM 1.0	p a r v a w o M
parvejZa 1.0	p a r v e j Z a
paryApwa 1.0	p a r y A p w a
paryAvaraNa 1.0	p a r y A v a r a N a
paryatana 1.0	p a r y a t a n a
pasaMxa 1.0	p a s a M x a
pasanxa 1.0	p a s a n x a
pasvAnA 1.0	p a s v A n A
patanA 1.0	p a t a n A
patela 1.0	p a t e l a
pavAra 1.0	p a v A r a
pavana 1.0	p a v a n a
paviwra 1.0	p a v i w r a
paviwrawA 1.0	p a v i w r a w A
pawA 1.0	p a w A
pawana 1.0	p a w a n a
pawi 1.0	p a w i
pawnI 1.0	p a w n I
pawnIyoM 1.0	p a w n I y o M
pawniyo 1.0	p a w n i y o
pawrI 1.0	p a w r I
pawra 1.0	p a w r a
pawrakAra 1.0	p a w r a k A r a
pawrakAriwA 1.0	p a w r a k A r i w A
pawrakAro 1.0	p a w r a k A r o
pawrakAroM 1.0	p a w r a k A r o M
pawrikA 1.0	p a w r i k A
paxArWa 1.0	p a x A r W a
paxa 1.0	p a x a
pe 1.0	p e
peSAvara 1.0	p e S A v a r a
peSa 1.0	p e S a
peSakaSa 1.0	p e S a k a S a
pecIMga 1.0	p e c I M g a
peciga 1.0	p e c i g a
pedZa 1.0	p e d Z a
pehacAna 1.0	p e h a c A n a
pehalA 1.0	p e h a l A
pehale 1.0	p e h a l e
pehalehI 1.0	p e h a l e h I
pehlA 1.0	p e h l A
peja 1.0	p e j a
perASuta 1.0	p e r A S u t a
pesa 1.0	p e s a
petrola 1.0	p e t r o l a
pevaliyana 1.0	p e v a l i y a n a
pewqka 1.0	p e w q k a
peya 1.0	p e y a
peyajala 1.0	p e y a j a l a
piCalI 1.0	p i C a l I
piCale 1.0	p i C a l e
piClI 1.0	p i C l I
piCle 1.0	p i C l e
pitAI 1.0	p i t A I
piwA 1.0	p i w A
piwu 1.0	p i w u
piwwa 1.0	p i w w a
piya 1.0	p i y a
plAna 1.0	p l A n a
plAnta 1.0	p l A n t a
plesa 1.0	p l e s a
poMtinga 1.0	p o M t i n g a
poSa 1.0	p o S a
pohaMceWe 1.0	p o h a M c e W e
pohacAne 1.0	p o h a c A n e
pohuMca 1.0	p o h u M c a
poiMta 1.0	p o i M t a
pojISana 1.0	p o j I S a n a
pojiSana 1.0	p o j i S a n a
polIna 1.0	p o l I n a
polIsa 1.0	p o l I s a
pole 1.0	p o l e
polita 1.0	p o l i t a
pone 1.0	p o n e
porta 1.0	p o r t a
postmArtama 1.0	p o s t m A r t a m a
postmOYrtana 1.0	p o s t m O Y r t a n a
postmortama 1.0	p o s t m o r t a m a
pqRTa 1.0	p q R T a
pqRToM 1.0	p q R T o M
pqWvI 1.0	p q W v I
prANa 1.0	p r A N a
prANo 1.0	p r A N o
prANoM 1.0	p r A N o M
prAWmIka 1.0	p r A W m I k a
prAWmika 1.0	p r A W m i k a
prAXikaraNa 1.0	p r A X i k a r a N a
prAcIna 1.0	p r A c I n a
prAcInawama 1.0	p r A c I n a w a m a
prAkqwa 1.0	p r A k q w a
prAkqwika 1.0	p r A k q w i k a
prAkruwIka 1.0	p r A k r u w I k a
prAnwa 1.0	p r A n w a
prApwa 1.0	p r A p w a
prApwi 1.0	p r A p w i
prArUpa 1.0	p r A r U p a
prAraMBa 1.0	p r A r a M B a
prAraMBika 1.0	p r A r a M B i k a
prAramBa 1.0	p r A r a m B a
prAramBika 1.0	p r A r a m B i k a
prAxeSika 1.0	p r A x e S i k a
prAyaH 1.0	p r A y a H
prAyaxvIpa 1.0	p r A y a x v I p a
prIwI 1.0	p r I w I
prIwi 1.0	p r I w i
prODZa 1.0	p r O D Z a
prOxyogikI 1.0	p r O x y o g i k I
praBAva 1.0	p r a B A v a
praBAviwa 1.0	p r a B A v i w a
praBu 1.0	p r a B u
praRixa 1.0	p r a R i x a
praSASnika 1.0	p r a S A S n i k a
praSAraNa 1.0	p r a S A r a N a
praSAsana 1.0	p r a S A s a n a
praSAsanika 1.0	p r a S A s a n i k a
praSAswI 1.0	p r a S A s w I
praSaMsA 1.0	p r a S a M s A
praSaMsanIya 1.0	p r a S a M s a n I y a
praSana 1.0	p r a S a n a
praSaraNoM 1.0	p r a S a r a N o M
praSikRaNa 1.0	p r a S i k R a N a
praSikRiwa 1.0	p r a S i k R i w a
praSna 1.0	p r a S n a
praWama 1.0	p r a W a m a
praXAna 1.0	p r a X A n a
praXAnamaMwrI 1.0	p r a X A n a m a M w r I
praXAnamanwrI 1.0	p r a X A n a m a n w r I
praXAnawA 1.0	p r a X A n a w A
praXAnmaMwrI 1.0	p r a X A n m a M w r I
praXAnmanwrI 1.0	p r a X A n m a n w r I
prabaMXa 1.0	p r a b a M X a
prabaMXaka 1.0	p r a b a M X a k a
prabaMXako 1.0	p r a b a M X a k o
prabaMXakoM 1.0	p r a b a M X a k o M
prabanXaka 1.0	p r a b a n X a k a
pracAra 1.0	p r a c A r a
pracalana 1.0	p r a c a l a n a
pragata 1.0	p r a g a t a
pragawi 1.0	p r a g a w i
pragawiSIla 1.0	p r a g a w i S I l a
prajA 1.0	p r a j A
prajAwI 1.0	p r a j A w I
prajAwi 1.0	p r a j A w i
prakASa 1.0	p r a k A S a
prakASana 1.0	p r a k A S a n a
prakASiwa 1.0	p r a k A S i w a
prakAra 1.0	p r a k A r a
prakRepAswra 1.0	p r a k R e p A s w r a
prakata 1.0	p r a k a t a
prakoRTI 1.0	p r a k o R T I
prakqwi 1.0	p r a k q w i
prakriyA 1.0	p r a k r i y A
prakriya 1.0	p r a k r i y a
pramANa 1.0	p r a m A N a
pramoxa 1.0	p r a m o x a
pramuKa 1.0	p r a m u K a
pramuKoM 1.0	p r a m u K o M
pramuKwA 1.0	p r a m u K w A
prasArIwa 1.0	p r a s A r I w a
prasAra 1.0	p r a s A r a
prasAraNa 1.0	p r a s A r a N a
prasAriwa 1.0	p r a s A r i w a
prasAxa 1.0	p r a s A x a
prasWAna 1.0	p r a s W A n a
prasaMga 1.0	p r a s a M g a
prasanna 1.0	p r a s a n n a
prasannawA 1.0	p r a s a n n a w A
prasixXa 1.0	p r a s i x X a
praswAva 1.0	p r a s w A v a
praswAviwa 1.0	p r a s w A v i w a
pravAha 1.0	p r a v A h a
pravAsI 1.0	p r a v A s I
pravakwA 1.0	p r a v a k w A
pravakwAne 1.0	p r a v a k w A n e
pravakwa 1.0	p r a v a k w a
pravarwaka 1.0	p r a v a r w a k a
pravarwana 1.0	p r a v a r w a n a
praveSa 1.0	p r a v e S a
praveSaxvAra 1.0	p r a v e S a x v A r a
pravkwA 1.0	p r a v k w A
pravwA 1.0	p r a v w A
prawI 1.0	p r a w I
prawISawa 1.0	p r a w I S a w a
prawIka 1.0	p r a w I k a
prawIwa 1.0	p r a w I w a
prawIyogIwA 1.0	p r a w I y o g I w A
prawi 1.0	p r a w i
prawiRTA 1.0	p r a w i R T A
prawiRTAno 1.0	p r a w i R T A n o
prawiRTAnoM 1.0	p r a w i R T A n o M
prawiRTana 1.0	p r a w i R T a n a
prawiRTiwa 1.0	p r a w i R T i w a
prawiSawa 1.0	p r a w i S a w a
prawibaMXa 1.0	p r a w i b a M X a
prawibaMXana 1.0	p r a w i b a M X a n a
prawibaMXo 1.0	p r a w i b a M X o
prawibanXoM 1.0	p r a w i b a n X o M
prawikRA 1.0	p r a w i k R A
prawikUla 1.0	p r a w i k U l a
prawikriyA 1.0	p r a w i k r i y A
prawiniXI 1.0	p r a w i n i X I
prawiniXIyoM 1.0	p r a w i n i X I y o M
prawiniXi 1.0	p r a w i n i X i
prawiniXiwva 1.0	p r a w i n i X i w v a
prawiniXiyoM 1.0	p r a w i n i X i y o M
prawisTAnoM 1.0	p r a w i s T A n o M
prawisWAnoM 1.0	p r a w i s W A n o M
prawiviXiyoM 1.0	p r a w i v i X i y o M
prawixina 1.0	p r a w i x i n a
prawiyogiwA 1.0	p r a w i y o g i w A
prawiyogwA 1.0	p r a w i y o g w A
prawyaya 1.0	p r a w y a y a
prawyeka 1.0	p r a w y e k a
praxAna 1.0	p r a x A n a
praxarSana 1.0	p r a x a r S a n a
praxarSiwa 1.0	p r a x a r S i w a
praxeSa 1.0	p r a x e S a
prayAga 1.0	p r a y A g a
prayAsa 1.0	p r a y A s a
prayAso 1.0	p r a y A s o
prayAsoM 1.0	p r a y A s o M
prayoga 1.0	p r a y o g a
prayogaSAlA 1.0	p r a y o g a S A l A
prayukwa 1.0	p r a y u k w a
preRaNa 1.0	p r e R a N a
prema 1.0	p r e m a
